ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Operativo,1.3,1.3,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,18.0,0.0,18.0,18.0,0.0,0.0,0.0,Crítico
Operativo,1.4,1.4,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,24.0,0.0,24.0,24.0,0.0,0.0,0.0,Crítico
Operativo,1.4,1.4,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Operativo,1.4,1.4,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,Crítico
Operativo,1.4,1.4,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,18.0,0.0,18.0,18.0,0.0,0.0,0.0,Crítico
Operativo,1.5,1.5,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,24.0,1.0,23.0,23.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
Operativo,1.5,1.5,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Operativo,1.5,1.5,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,Crítico
Operativo,1.5,1.5,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,18.0,1.0,17.0,17.0,0.0,0.05555555555555555,0.05555555555555555,Crítico
Operativo,1.7,1.7,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Operativo,1.8,1.8,CALI,PLANTA,Enero - Marzo,2026,1,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
Operativo,1.8,1.8,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,10.0,13.0,-3.0,0.0,3.0,1.3,1.0,Supera meta
Operativo,1.8,1.8,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,24.0,5.0,19.0,19.0,0.0,0.20833333333333334,0.20833333333333334,Crítico
Operativo,2.1,2.1,CALI,CONTRATISTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Operativo,2.1,2.1,CARTAGO,PLANTA,Enero - Marzo,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Operativo,2.10,2.10,CALI,CONTRATISTA,Enero - Marzo,2026,3,3,1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,Crítico
Operativo,2.10,2.10,CALI,PLANTA,Enero - Marzo,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Operativo,2.10,2.10,CARTAGO,CONTRATISTA,Enero - Marzo,2026,5,1,1,5.0,5.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,2.10,2.10,CARTAGO,PLANTA,Enero - Marzo,2026,4,2,1,4.0,2.0,2.0,2.0,0.0,0.5,0.5,Bajo
Operativo,2.10,2.10,TULUA,CONTRATISTA,Enero - Marzo,2026,9,3,1,10.0,11.0,-1.0,0.0,1.0,1.1,1.0,Supera meta
Operativo,2.10,2.10,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Operativo,2.18,2.18,CALI,PLANTA,Enero - Marzo,2026,1,1,1,0.0,1.0,-1.0,0.0,1.0,,,Sin dato
Operativo,2.2,2.2,TULUA,CONTRATISTA,Enero - Marzo,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,2.2,2.2,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Operativo,2.20,2.20,CALI,PLANTA,Enero - Marzo,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Operativo,2.20,2.20,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Operativo,2.3,2.3,CALI,CONTRATISTA,Enero - Marzo,2026,3,3,1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,Crítico
Operativo,2.3,2.3,CALI,PLANTA,Enero - Marzo,2026,7,1,1,2.0,7.0,-5.0,0.0,5.0,3.5,1.0,Supera meta
Operativo,2.3,2.3,CARTAGO,CONTRATISTA,Enero - Marzo,2026,6,1,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,2.3,2.3,CARTAGO,PLANTA,Enero - Marzo,2026,6,2,1,6.0,11.0,-5.0,1.0,6.0,1.8333333333333333,1.0,Supera meta
Operativo,2.3,2.3,TULUA,CONTRATISTA,Enero - Marzo,2026,8,3,1,8.0,8.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,2.3,2.3,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,5.2,5.2,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Operativo,5.2,5.2,CARTAGO,PLANTA,Enero - Marzo,2026,4,1,1,7.0,1.0,6.0,6.0,0.0,0.14285714285714285,0.14285714285714285,Crítico
Operativo,5.24,5.24,CARTAGO,PLANTA,Enero - Marzo,2026,4,1,1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,Crítico
Operativo,5.34,5.34,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Operativo,5.4,5.4,CARTAGO,PLANTA,Enero - Marzo,2026,4,1,1,20.0,3.0,17.0,17.0,0.0,0.15,0.15,Crítico
