anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones
2026,6,76233,DAGUA,ARO SUR CALI,3.57059,-76.64498,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57063,-76.64517,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57069,-76.64541,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57074,-76.64547,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57104,-76.64681,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57105,-76.64681,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57114,-76.64759,2026-06-26,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57115,-76.6457,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57116,-76.6457,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57117,-76.64567,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57118,-76.64569,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57149,-76.64531,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57151,-76.64533,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57198,-76.62087,2026-06-06,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57231,-76.64433,2026-06-19,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57236,-76.64651,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC263,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57236,-76.64651,2026-06-26,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57236,-76.64651,2026-06-26,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57251,-76.64441,2026-06-19,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57272,-76.64769,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
