anio,anio_evento,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,8
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,2
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,2 VISITAS,OBSERVADO SANO,1
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,SI,VACUNADO,1 VISITA,OBSERVADO SANO,3
2026,2025,12,76622,ROLDANILLO,ARO NORTE CARTAGO,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76670,SAN PEDRO,ARO CENTRO TULUA,CANINO,URBANO,SI,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,RURAL,NO,NO VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
