anio,fecha_visita,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,numero_visita,dentro_10_dias,visitas
2026,2026-01-12,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,NO OBSERVABLE,3,NO,1
2026,2026-01-12,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,3,SI,3
2026,2026-01-13,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,2,NO,1
2026,2026-01-13,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,3 O MÁS VISITAS,CUMPLE,SIN CLASIFICAR,2,SI,1
2026,2026-01-13,1,76041,ANSERMANUEVO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,OBSERVADO SANO,2,NO,1
2026,2026-01-13,1,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,1,SI,1
2026,2026-01-13,1,76400,LA UNION,ARO NORTE CARTAGO,FELINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,2,SI,1
2026,2026-01-13,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,MUERTO,1,SI,1
2026,2026-01-13,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,1,SI,1
2026,2026-01-13,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,CALLEJERO,1,SI,1
2026,2026-01-13,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,1
2026,2026-01-13,1,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,1
2026,2026-01-13,1,76616,RIOFRIO,ARO CENTRO TULUA,OTRO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,1
2026,2026-01-14,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1,NO,1
