anio,fecha_apertura,fecha_agresion,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,eventos
2026,2026-01-13,2026-01-08,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,1
2026,2026-01-13,2026-01-09,1,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,1
2026,2026-01-13,2026-01-10,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,MUERTO,1
2026,2026-01-14,2025-12-09,1,76828,TRUJILLO,ARO CENTRO TULUA,FELINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-14,2025-12-19,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2026-01-14,2025-12-20,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-14,2025-12-20,1,76275,FLORIDA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-14,2025-12-21,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2026-01-14,2025-12-22,1,76275,FLORIDA,ARO SUR CALI,OTRO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-14,2025-12-24,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,MUERTO,1
2026,2026-01-14,2025-12-24,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2025-12-24,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-14,2025-12-27,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2025-12-27,1,76122,CAICEDONIA,ARO CENTRO TULUA,FELINO,1 VISITA,1 VISITA,CALLEJERO,1
2026,2026-01-14,2025-12-29,1,76895,ZARZAL,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-14,2025-12-30,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2025-12-30,1,76100,BOLIVAR,ARO CENTRO TULUA,FELINO,1 VISITA,1 VISITA,CALLEJERO,1
