ID_SEDE_IRCA;COD_DANE;MUNICIPIO_BASE;NOMBRE_SEDE_BASE;MEN_COINCIDE;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_TOTAL_MATRICULA;MEN_LATITUD;MEN_LONGITUD;MEN_COORDENADA_VALIDA;USO_COORDENADA_MEN;USO_MATRICULA_MEN
95;276616000352;RIOFRIO;ESCUELA N. 11 POLICARPA SALAVARRIETA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE ALFREDO GARRIDO TOVAR;POLICARPA SALAVARRIETA;13;4.04;-76.38;SI;NO;NO
96;276616000280;RIOFRIO;CENTRO EDUCATIVO CENT DOC SANTAFE N.13;NO;SIN_COINCIDENCIA_FUERTE;0.479;;;;0;;;NO;NO;NO
97;;EL DOVIO;I.E ACERG ROSA SARATE DE PEÑA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.982;2.019;IE ACERG;ROSA SARATE DE PEÑA;7;4.53;-76.19;SI;SI;NO
98;276250000061;EL DOVIO;IE JOSE MARIA FALLA SEDE ELVIRA PEÑA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.98;;;;0;;;NO;NO;NO
99;276275000324;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE MANUELA BELTRAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
100;276563000274;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE JOSE CELESTINO MUTIS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
101;276606000231;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE ANTONIO RICAURTE;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. TEODORO MUNERA HINCAPIE;ANTONIO RICAURTE;30;3.81;-76.5;SI;NO;NO
102;276020000193;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE ATANASIO GIRARDOT;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.935;;;;0;;;NO;NO;NO
103;276823000231;TORO;I.E TECNICO AGROPECUARIO TORO SEDE CAICEDO Y CUERVO;NO;POSIBLE_COINCIDENCIA_REVISAR;0.884;;;;0;;;NO;NO;NO
104;276845000196;ULLOA;I.E MARIA INMACULADA SEDE LASTENIA DURAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
105;276845000048;ULLOA;I.E MARIA INMACULADA SEDE SANTA ELENA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
106;276845000170;ULLOA;I.E LA INMACULADA SEDE SANTA TERESA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MARIA INMACULADA;SANTA TERESA;10;4.69;-75.76;SI;NO;NO
107;276845000129;ULLOA;I.E MARIA INMACULADA SEDE DOCE DE OCTUBRE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
