ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
755;;ROLDANILLO;INSTITUCION EDUCATIVA NORMAL SUPERIOR JORGE ISAACS SEDE CARLOS VILLAFANE - ACCION POR COLOMBIA;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
756;276622000241;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE SANTA RITA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
757;276622000216;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE SANTA ROSA DE LIMA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
758;276622000224;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE HELIODORO PEÑA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
759;276670000082;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA SEDE ALEJANDRO HENAO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
760;276670000066;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA SEDE CAMILO TORRES;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
761;276670000406;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE ANDRES BELLO (D.P);1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
762;276670000171;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA.  SEDE RAFAEL ALBERTO MARMOLEJO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
763;276670000384;SAN PEDRO;I.E JOSE ANTONIO AGUILERA SEDE NIÑO JESUS DE PRAGA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
764;276670000449;SAN PEDRO;I.E JULIO CAICEDO TELLEZ SEDE SIMON BOLIVAR;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
765;276670000279;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ SEDE ANTONIO NARIÑO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
766;276670000180;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE GABRIELA MISTRAL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
767;176670000070;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA - SEDE RAFAEL URIBE URIBE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
768;176670000258;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA - SEDE LEONARDO TASCON;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
769;276670000121;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA SEDE SAN JUDAS TADEO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
770;176670000240;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA SEDE JOSE ANTONIO AGUILERA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
771;276670000457;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE FRANCISCO JOSE DE CALDAS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
772;276670000228;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA SEDE CRISTO REY;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
773;;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE MIGUEL ANTONIO CARO PRINCIPAL;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
774;276670000198;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE GENERAL SANTANDER;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
775;276670000180;SAN PEDRO;I.E. MIGUEL ANTONIO CARO SEDE GABRIELA MISTRAL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
776;176670000070;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA - SEDE RAFAEL URIBE URIBE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
777;276670000287;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ SEDE JORGE ELIECER GAITAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
778;276670000031;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ SEDE VICENTE H CRUZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
779;276670000155;SAN PEDRO;I.E JULIO CAICEDO TELLEZ SEDE ANTONIA SANTOS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
780;276670000481;SAN PEDRO;I.E JULIO CAICEDO TELLEZ SEDE MANUELA BELTRAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
781;276670000091;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ.  SEDE  FRANCISCO ANTONIO ZEA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
782;276670000104;SAN PEDRO;I.E JAIRO CAICEDO TELLEZ SEDE DEMETRIO GARCIA VELASQUEZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
783;;SAN PEDRO;I. E JULIO CAICEDO TELLEZ PRINCIPAL;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;GEORREFERENCIADA;
784;276736000763;SEVILLA;I.E. SANTA BARBARA SEDE NUESTRA SEÑORA DE FATIMA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
785;276736000402;SEVILLA;I.E. SANTA TERESITA SEDE RODRIGO DE BASTIDAS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
786;176736000084;SEVILLA;I.E JORGE ELIECER GAITAN SEDE TOTORO;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
787;276736000178;SEVILLA;I.E SANTA TERESITA SEDE SANTA TERESITA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
788;276736000500;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE JOAQUIN CAICEDO (D.I);1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
789;276736001310;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE FRAY BARTOLOME DE LAS CASAS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
790;276736001026;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE EL RECREO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
791;276736000224;SEVILLA;I.E. JORGE ELIECER GAITAN SEDE ANTONIO RICAURTE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
792;276736000348;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE LA MARIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
793;276736000330;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE NUESTRA SEÑORA DEL PERPETUO SOCORRO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
794;276736000160;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE SANTA INES;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
