CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
1395;ACUEDUCTO AUJI;EL CERRITO;1;6;1;6;0;54.33;54.33
196;ACUEDUCTO RURAL EL CRUCERO - ACUACRUCERO;SEVILLA;1;6;1;6;0;54.33;54.33
2160;ACUEDUCTO VEREDAS LAS PALOMAS- EL BOSQUE;ANSERMANUEVO;1;6;1;6;0;68.08;68.08
2898;ASOCIACIÓN DE USUARIOS DEL  ACUEDUCTO VEREDAL LA AGUADA BAJA;LA UNION;1;6;1;6;0;50.73;50.73
3459;JUNTA ADMÓN. ACUEDUCTO BAJO TIGRE;ANSERMANUEVO;1;6;1;6;0;68.08;68.08
3578;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL CRUCERO;EL DOVIO;1;6;1;6;0;68.08;68.08
502;ASOCIACIÓN DE USUARIOS VEREDA AGUAMONA;RESTREPO;1;6;1;6;0;68.08;68.08
523;ACUEDUCTO RURAL CAÑADA HONDA BAJA - CASTILLO;EL DOVIO;1;6;1;6;0;68.08;68.08
SIN CODIGO SISA;JUNTA ADMINISTRADORA ACUEDUCTO ESMERALDA BAJA;BUGALAGRANDE;1;6;1;6;0;68.08;68.08
1118;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL DE LAS VEREDAS EL BOSQUE LA ALDANA;BOLIVAR;1;5;1;5;0;67.66;67.66
13850;ACUEDUCTO RURAL EL FUSIL;BOLIVAR;1;5;1;5;0;67.66;67.66
1450;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL RINCON;LA UNION;1;5;1;5;0;67.66;67.66
1975;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL LULAR AGUAS LULAREÑAS;EL DOVIO;1;5;1;5;0;67.66;67.66
2171;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE BUENOS AIRES;BOLIVAR;1;5;1;5;0;53.91;53.91
2876;JUNTA ADMINISTRADORA LOCAL DE LA VEREDA CAMPO ALEGRE;GINEBRA;1;5;1;5;0;58.11;58.11
3284;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS LA CRISTALINA Y PURNIO - AGUA PORVENIR PURNIO;SEVILLA;1;5;1;5;0;53.91;53.91
350;ASOCIACIÓN DE USUARIOS ACUEDUCTO COLECTIVO EL JARDÍN;GINEBRA;1;5;1;5;0;58.11;58.11
4982;ASOCIACIÓN ACUEDUCTO COMUNITARIO QUEBRADA CALABAZAS SAN PABLO - ACOCALABAZAS;RESTREPO;1;5;1;5;0;53.91;53.91
625;ASOCIACION GESTION COMUNITARIA DEL AGUA DE LA POPALITA;ANSERMANUEVO;1;5;1;5;0;67.66;67.66
SIN CODIGO SISA;EL NOGAL;PRADERA;1;5;1;5;0;58.11;58.11
1128;ASOCIACION DE USUARIOS ACUEDUCTO LA MARIA;BOLIVAR;1;4;1;4;0;67.17;67.17
1335;JUNTA DE ACCION COMUNAL LAS VUELTAS;EL DOVIO;1;4;1;4;0;67.17;67.17
1612;LA FERIA - PLANADA;PRADERA;1;4;1;4;0;57.62;57.62
