ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
58;276126000559;CALIMA;I.E. SIMON BOLIVAR SEDE LLANITOS;SIN RIESGO;11;11;0;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SIN_CANDIDATOS_MUNICIPIO;
59;276377000141;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE MANUELA BELTRAN;INVIABLE SANITARIAMENTE;10;5;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.931
60;276377000311;LA CUMBRE;I.E. LA LIBERTAD SEDE LA LIBERTAD;ALTO;10;11;19;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
61;276377000078;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE FRANCISCO DE PAULA SANTANDER;SIN RIESGO;610;0;657;610;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.945
62;276377000264;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE POLICARPA SALAVARRIETA;SIN RIESGO;16;4;0;16;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.939
63;176377000049;LA CUMBRE;I.E. SAN PIO X SEDE JOSE MARIA CORDOBA;SIN RIESGO;68;61;0;68;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
64;176377000014;LA CUMBRE;I.E. SIMON BOLIVAR SEDE SIMON BOLIVAR (PRINCIPAL);SIN RIESGO;116;130;48;116;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
65;276377000132;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE JORGE ROBLEDO;SIN RIESGO;26;20;0;26;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
66;276377000094;LA CUMBRE;I.E. LA LIBERTAD SEDE LAUREANO GOMEZ;SIN RIESGO;114;101;0;114;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
67;176377000251;LA CUMBRE;I.E. SAN PIO X SEDE PRINCIPAL;SIN RIESGO;272;0;424;272;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
