ID_MAESTRO;CODIGO_SISTEMA;MUNICIPIO;AMBITO;TIPO_SISTEMA;ARO;PERSONA_PRESTADORA;LOCALIDADES_ABASTECIDAS;SUSCRIPTORES;POBLACION;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;ESTADO_MAESTRO;LATITUD;LONGITUD;VALIDACION_SISTEMA
ACUEDUCTO_0076;112154;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DE ALMENDRONAL;ALMENDRONAL;13.0;52.0;Ninguno;0;ACTIVO;4.149033;-76.06788;EXISTENTE
ACUEDUCTO_0077;60151;BUGALAGRANDE;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN;CEILÁN;768.0;3072.0;FIME;1;ACTIVO;4.108833;-76.04056;EXISTENTE
ACUEDUCTO_0078;120420;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE CAMPO ALEGRE DE CEYLAN;CAMPOALEGRE BAJO;30.0;120.0;Soluciones_Individuales;1;ACTIVO;4.219431;-76.06784;EXISTENTE
ACUEDUCTO_0079;113607;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN ISIDRO - ASUASANIS;SAN ISIDRO;106.0;424.0;Soluciones_Individuales;0;ACTIVO;4.114444;-76.01669;EXISTENTE
ACUEDUCTO_0080;58633;BUGALAGRANDE;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE PAILA ARRIBA;PAILA ARRIBA;197.0;788.0;Solo desinfección;0;ACTIVO;4.236411;-76.03446;EXISTENTE
ACUEDUCTO_0081;64193;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE CHORRERAS MUNICIPIO DE BUGALAGRANDE - ASUACH;CHORRERAS;70.0;280.0;Solo desinfección;0;ACTIVO;4.159742;-75.84171;EXISTENTE
ACUEDUCTO_0082;104096;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA COLONIA;LA COLONIA;47.0;168.0;Soluciones_Individuales;1;ACTIVO;4.146503;-76.0218;EXISTENTE
ACUEDUCTO_0083;112155;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR;CHICORAL ALTO;22.0;88.0;Soluciones_Individuales;1;ACTIVO;4.251414;-76.05262;EXISTENTE
ACUEDUCTO_0084;124804;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR;EL PORVENIR;18.0;72.0;Ninguno;0;ACTIVO;4.151117;-76.02729;EXISTENTE
ACUEDUCTO_0085;124819;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR;EL JARDIN;22.0;88.0;Ninguno;0;ACTIVO;4.158742;-76.03342;EXISTENTE
ACUEDUCTO_0086;124820;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR;CHICORAL BAJO;18.0;72.0;Soluciones_Individuales;1;ACTIVO;4.158742;-76.03342;EXISTENTE
ACUEDUCTO_0087;61921;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL DE LA VEREDA TETILLAL BAJO;TETILLAL;13.0;52.0;Ninguno;0;ACTIVO;4.157958;-76.05406;EXISTENTE
ACUEDUCTO_0088;58940;BUGALAGRANDE;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE DEL ACUEDUCTO Y ALCANTARILLADO DE MESTIZAL;MESTIZAL;130.0;520.0;Pozo+Aireacion+Desinfección;1;ACTIVO;4.228908;-76.16225;EXISTENTE
ACUEDUCTO_0089;60312;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE EL GUAYABO;EL GUAYABO;92.0;0.0;Pozo+Aireacion+Desinfección;1;ACTIVO;4.244167;-76.18197;EXISTENTE
