CODIGO_SISTEMA,MUNICIPIO,PERSONA_PRESTADORA,SISTEMA_DISTRIBUCION,CLASIFICACION_URBANO_RURAL,ARO,TIPO_SISTEMA,TIPO_DISPOSITIVO_AJUSTADO,LATITUD,LONGITUD,MUESTRAS,ANIOS,IRCA_PROMEDIO,IRCA_MAXIMO,NIVEL_RIESGO,VALIDACION_SISTEMA,PARAMETROS_NO_ACEPTABLES,TOTAL_NO_ACEPTABLES
60151,BUGALAGRANDE,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN MUNICIPIO DE BUGALAGRANDE DEPARTAMENTO DEL VALLE DEL CAUCA,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.108833,-76.04056,34,"2020, 2021, 2022, 2023, 2024, 2025, 2026",4.853823529411764,57.14,ALTO,EXISTENTE,4,17
104096,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA COLONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA COLONIA,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.146503,-76.0218,8,"2020, 2021, 2022, 2023, 2024, 2025, 2026",56.95625,93.39,INVIABLE SANITARIAMENTE,EXISTENTE,6,32
60314,BUGALAGRANDE,ASOCIACIÓN AGUAS DE GALICIA,ASOCIACIÓN AGUAS DE GALICIA,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.172831,-76.05827,13,"2020, 2021, 2022, 2023, 2024, 2025, 2026",53.26692307692308,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,6,54
112155,BUGALAGRANDE,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR -,ASUACHIJAPOR - CHICORAL ALTO,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,0,-76.05262,7,"2021, 2022, 2023, 2024, 2025",49.534285714285716,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,5,22
124820,BUGALAGRANDE,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR -,ASUACHIJAPOR - CHICORAL BAJO,Rural,Centro Tuluá,DISPERSA,Filtro,4.158742,-76.03342,7,"2021, 2023, 2024, 2025",40.77428571428572,92.93,INVIABLE SANITARIAMENTE,EXISTENTE,6,21
124819,BUGALAGRANDE,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR -,ASUACHIJAPOR - EL JARDIN,Rural,Centro Tuluá,DISPERSA,Filtro / Grifo,4.158742,-76.03342,5,"2022, 2023, 2024, 2025",52.294000000000004,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,5,18
124804,BUGALAGRANDE,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR -,ASUACHIJAPOR - EL PORVENIR,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.151117,-76.02729,8,"2020, 2021, 2022, 2023, 2024, 2025",73.775,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,5,38
999993,BUGALAGRANDE,EDS DISTRACOM,EDS DISTRACOM,Rural,Centro Tuluá,PRIVADO,Grifo,,,1,2021,90.23,90.23,INVIABLE SANITARIAMENTE,VALIDAR SISTEMA,6,7
113738,BUGALAGRANDE,JUANTA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA LA ESMERALDA BAJA,EL TIGRE,Rural,Centro Tuluá,DISPERSA,Grifo,,,6,"2021, 2022, 2023, 2024, 2025",61.69166666666666,86.61,INVIABLE SANITARIAMENTE,VALIDAR SISTEMA,5,23
61922,BUGALAGRANDE,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA MORENA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA MORENA,Rural,Centro Tuluá,DISPERSA,Grifo,4.135678,-76.07157,3,"2022, 2023, 2024",72.60000000000001,86.52,INVIABLE SANITARIAMENTE,EXISTENTE,5,14
