id,codigo,municipio,aro,longitud,latitud,tmax_daily_mean_c,tmax_abs_c
ELNINO_0281,3462,EL DOVIO,Norte Cartago,-76.28756,4.543411,23.34,25.13
ELNINO_0282,,EL DOVIO,Norte Cartago,-76.37331,4.498625,24.32,26.03
ELNINO_0283,523,EL DOVIO,Norte Cartago,-76.19013,4.511114,23.16,25.45
ELNINO_0284,20062,EL DOVIO,Norte Cartago,-76.25753,4.518203,22.98,25.09
ELNINO_0285,15655,EL DOVIO,Norte Cartago,-76.26064,4.569133,23.34,25.13
ELNINO_0183,1959,EL DOVIO,Norte Cartago,-76.18666,4.527,23.16,25.45
ELNINO_0429,1964,EL DOVIO,Norte Cartago,-76.18605,4.530283,23.19,25.18
ELNINO_0289,,EL DOVIO,Norte Cartago,-76.2616,4.562972,23.34,25.13
ELNINO_0291,3578,EL DOVIO,Norte Cartago,-76.22434,4.521917,23.16,25.45
ELNINO_0292,524,EL DOVIO,Norte Cartago,-76.28312,4.505531,22.98,25.09
ELNINO_0293,1975,EL DOVIO,Norte Cartago,-76.36445,4.547725,24.97,26.66
ELNINO_0294,1971,EL DOVIO,Norte Cartago,-76.2,4.533589,23.19,25.18
ELNINO_0295,525,EL DOVIO,Norte Cartago,-76.31271,4.491356,22.98,25.09
ELNINO_0296,3463,EL DOVIO,Norte Cartago,-76.35031,4.496194,24.32,26.03
ELNINO_0297,,EL DOVIO,Norte Cartago,-76.35281,4.513708,24.32,26.03
ELNINO_0298,,EL DOVIO,Norte Cartago,-76.29249,4.599603,23.34,25.13
ELNINO_0299,3577,EL DOVIO,Norte Cartago,-76.22393,4.446117,23.64,26.21
ELNINO_0502,1954,EL DOVIO,Norte Cartago,-76.17503,4.517814,23.16,25.45
ELNINO_0460,1955,EL DOVIO,Norte Cartago,-76.17503,4.517814,23.16,25.45
ELNINO_0449,1957,EL DOVIO,Norte Cartago,-76.17503,4.517814,23.16,25.45
ELNINO_0303,3466,EL DOVIO,Norte Cartago,-76.25267,4.49845,22.98,25.09
ELNINO_0304,526,EL DOVIO,Norte Cartago,-76.29193,4.525169,22.98,25.09
ELNINO_0306,3464,EL DOVIO,Norte Cartago,-76.24645,4.539486,23.34,25.13
ELNINO_0307,51,EL DOVIO,Norte Cartago,-76.22223,4.500011,23.16,25.45
ELNINO_0308,112,FLORIDA,Sur Cali,-76.18294,3.296139,23.01,25.67
ELNINO_0411,SD,FLORIDA,Sur Cali,-76.15161,3.346972,16.09,17.75
ELNINO_0685,SD,FLORIDA,Sur Cali,-76.18419,3.273028,23.01,25.67
