ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Es_duplicado_por_codigo
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5290-VIG,19/11/2025,19/11/2025,3:17 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,406,3,0,Cartago|20251119-5290-VIG,True,2025-11-19,2025-11-19,2025-12-01,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5292-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,407,3,0,Cartago|20251119-5292-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5301-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,408,3,0,Cartago|20251119-5301-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5293-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,409,3,0,Cartago|20251119-5293-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8153-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,41,4,0,Cartago|20260505-8153-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5295-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,410,3,0,Cartago|20251119-5295-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5300-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,411,3,0,Cartago|20251119-5300-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5298-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,412,3,0,Cartago|20251119-5298-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5291-VIG,19/11/2025,19/11/2025,3:17 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,413,3,0,Cartago|20251119-5291-VIG,True,2025-11-19,2025-11-19,2025-12-01,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5314-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,414,3,0,Cartago|20251119-5314-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5296-VIG,19/11/2025,19/11/2025,3:17 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,415,3,0,Cartago|20251119-5296-VIG,True,2025-11-19,2025-11-19,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251119-5299-VIG,19/11/2025,19/11/2025,3:17 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,416,3,0,Cartago|20251119-5299-VIG,True,2025-11-19,2025-11-19,2025-12-01,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251118-5220-VIG,18/11/2025,18/11/2025,3:37 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,417,3,0,Cartago|20251118-5220-VIG,True,2025-11-18,2025-11-18,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251118-5225-VIG,18/11/2025,18/11/2025,3:37 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,418,3,0,Cartago|20251118-5225-VIG,True,2025-11-18,2025-11-18,2025-11-30,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251118-5239-VIG,18/11/2025,18/11/2025,3:37 PM,30/11/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,419,3,0,Cartago|20251118-5239-VIG,True,2025-11-18,2025-11-18,2025-11-30,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8114-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,42,4,0,Cartago|20260505-8114-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
